Bezirk;Standort;Straße;PLZ ;Straße;PLZ;Ort;Kostenfrei ?;Betreiber;Versorgungsbereich
Charlottenburg-Wilmersdorf ;Dietrich Bonhoeffer-Bibliothek (Mittelpunktbibliothek) ;Brandenburgische Straße 2  ;10713;Brandenburgische Straße 2  ;10713;Berlin ;J;QSC AG;Innenbereich
Charlottenburg-Wilmersdorf ;Heinrich-Schulz-Bibliothek im Rathaus Charlottenburg (Bezirkszentralbibliothek);"Otto-Suhr-Allee 96 
(Rathaus Charlottenburg)";10585;Otto-Suhr-Allee 96 ;10585;Berlin;J;QSC AG;Innenbereich
Charlottenburg-Wilmersdorf ;Musikbibliothek Bundesallee;Bundesallee 1-12;10719;Bundesallee 1-12;10719;Berlin;J;QSC AG;Innenbereich
Charlottenburg-Wilmersdorf ;Eberhard-Alexander-Burgh-Bibliothek (Kinderbibliothek);Rüdesheimer Str. 14;14197;Rüdesheimer Str. 14;14197;Berlin;J;QSC AG;Innenbereich
Charlottenburg-Wilmersdorf ;Stadtteilbibliothek Halemweg;Halemweg 18;13627;Halemweg 18;13627;Berlin;J;QSC AG;Innenbereich
Charlottenburg-Wilmersdorf ;Adolf-Reichwein-Bibliothek im Rathaus Schmargendorf;"im Rathaus Schmargendorf, 
Berkaer Platz 1";14199;"
Berkaer Platz 1";14199;Berlin;J;QSC AG;Innenbereich
Charlottenburg-Wilmersdorf ;Ingeborg-Bachmann-Bibliothek (Stadtteilbibliothek);Nehringstraße 10,;14059;Nehringstraße 10,;14059;Berlin;J;QSC AG;Innenbereich
Charlottenburg-Wilmersdorf ;Johanna-Moosdorf-Bibliothek (Stadtteilbibliothek);Westendallee 45;14052;Westendallee 45;14052;Berlin;J;QSC AG;Innenbereich
Friedrichshain-Kreuzberg;Bezirkszentralbibliothek Frankfurter Allee ;Frankfurter Allee 14 a ;10247;Frankfurter Allee 14 a ;10247;Berlin;J;Daphi-GmbH;im ges. Gebäude+ unmittelb.Außenbereich
Friedrichshain-Kreuzberg;"Mittelpunktbibliothek Adalbertstraße / Wilhelm-
Liebknecht- / Namik-Kemal-Bibliothek";Adalbertstr. 2;10999;Adalbertstr. 2;10999;Berlin;J;HOTSPLOTS;im ges. Gebäude+ unmittelb.Außenbereich
Friedrichshain-Kreuzberg;"Stadtteilbibliothek Dudenstraße / Friedrich-von-
Raumer-Bibliothek ";Dudenstr.18-20 ;10965;Dudenstr.18-20 ;10965;Berlin;J;HOTSPLOTS;im ges. Gebäude+ unmittelb.Außenbereich
Friedrichshain-Kreuzberg;Stadtteilbibliothek Oranienstraße Bona-Peiser-Bibliothek ;Oranienstr. 72 ;10969;Oranienstr. 72 ;10969;Berlin;J;HOTSPLOTS;im ges. Gebäude+ unmittelb.Außenbereich
Friedrichshain-Kreuzberg;Familienbibliothek Glogauer Straße;Glogauer Str. 13;10999;Glogauer Str. 13;10999;Berlin;J;HOTSPLOTS;Innenbereich
Friedrichshain-Kreuzberg;Zentral- und Landesbibliothek Berlin AGB;Blücherplatz 1;10961;Blücherplatz 1;10961;Berlin;J;HOTSPLOTS;Innenbereich
Lichtenberg;Anna-Seghers-Bibliothek;Prerower Platz 2;13051;Prerower Platz 2;13051;Berlin;N;k.A.;Innenbereich
Lichtenberg;Anton-Saefkow-Bibliothek;Anton-Saefkow-Platz 14;10369;Anton-Saefkow-Platz 14;10369;Berlin;N;k.A.;Innenbereich
Lichtenberg;Bodo-Uhse-Bibliothek;Erich-Kurz-Straße 9;10319;Erich-Kurz-Straße 9;10319;Berlin;N;k.A.;Innenbereich
Lichtenberg;Rathaus Lichtenberg;;;Möllendorffstr. 6;10367;Berlin;J;HOTSPLOTS;
Lichtenberg;Egon-Erwin-Kisch-Bibliothek;"Frankfurter Allee 149/ 
Ecke Rathausstraße";10365;Frankfurter Allee 149;10365;Berlin;N;k.A.;Innenbereich
Marzahn-Hellersdorf  ;Bezirkszentralbibliothek „Mark Twain“;Marzahner Promenade 52-54 ;12679;Marzahner Promenade 52-54 ;12679;Berlin;J;in Planung;Innenbereich
Marzahn-Hellersdorf  ;"Musikbibliothek Marzahn-Hellersdorf im 
Freizeitforum Marzahn";Marzahner Promenade 52-54;12679;Marzahner Promenade 52-54;12679;Berlin;J;in Planung;Innenbereich
Marzahn-Hellersdorf  ;Stadtteilbibliothek Heinrich von Kleist;Havemannstr. 17 B;12689;Havemannstr. 17 B;12689;Berlin;J;in Planung;Innenbereich
Marzahn-Hellersdorf  ;Mittelpunktbibliothek Ehm Welk;Alte Hellersdorfer Str. 125;12629;Alte Hellersdorfer Str. 125;12629;Berlin;J;in Planung;Innenbereich
Marzahn-Hellersdorf  ;Stadtteilbibliothek Kaulsdorf Nord;Cecilienplatz 12;12619;Cecilienplatz 12;12619;Berlin;J;in Planung;Innenbereich
Marzahn-Hellersdorf  ;Stadtteilbibliothek Erich Weinert;Helene-Weigel-Platz 4;12681;Helene-Weigel-Platz 4;12681;Berlin;J;in Planung;Innenbereich
Marzahn-Hellersdorf  ;Stadtteilbibliothek Mahlsdorf;Alt-Mahlsdorf 24-26;12623;Alt-Mahlsdorf 24-26;12623;Berlin;J;in Planung;Innenbereich
Mitte ;Bezirkszentralbibliothek Philipp Schaeffer;Brunnenstr. 181 ;10119;Brunnenstr. 181 ;10119;Berlin;J;HOTSPLOTS;im gesamten Kundenbereich, 3Einwahlpkt. 
Mitte ;Bibliothek am Luisenbad;Travemünder Str. 2 ;13357;Travemünder Str. 2 ;13357;Berlin;J;HOTSPLOTS;Innenbereich/Lesegarten
Mitte ;Bibliothek Tiergarten-Süd ;Lützowstr. 27 ;10785;Lützowstr. 27 ;10785;Berlin;J;HOTSPLOTS;Innenbereich der Bibliothek 
Mitte ;Bruno-Lösche-Bibliothek;Perleberger Str. 33;10559;Perleberger Str. 33;10559;Berlin;J;HOTSPLOTS;Innenbereich der Bibliothek 
Mitte ;Hansabibliothek;Altonaer Str. 15 ;10557;Altonaer Str. 15 ;10557;Berlin;J;HOTSPLOTS;Innenbereich/Lesegarten 
Mitte ;"(at)hugo Jugendmedienetage in der Hugo-Heimann-
Bibliothek";Swinemünder Str. 80;13355;Swinemünder Str. 80;13355;Berlin;J;HOTSPLOTS;Innenbereich
Mitte ;Kurt-Tucholsky-Bibliothek;Rostocker Str. 32b;10553;Rostocker Str. 32b;10553;Berlin;J;HOTSPLOTS;
Mitte ;Schiller-Bibliothek im Rathaus Wedding;Müllerstr. 147;13353;Müllerstr. 147;13353;Berlin;J;HOTSPLOTS;Innenbereich
Mitte ;"Haus Berliner Stadtbibliothek (Zentral- und 
Landesbibliothek Berlin)";Breite Straße 30-36;10178;Breite Straße 30-36;10178;Berlin;J;HOTSPLOTS;Innenbereich
Mitte ;Zentral- und Landesbibliothek Berlin in der Humboldt-Box;Schloßplatz 1;10178;Schloßplatz 1;10178;Berlin;J;HOTSPLOTS;
Neukölln ;"Hauptbibliothek Helene-Nathan-Bibliothek in den 
Neukölln Arcaden";"Karl-Marx-Str. 66 (in den 
Neukölln Arcaden)";12043;Karl-Marx-Str. 66 ;12043;Berlin;J;HOTSPLOTS;Innenbereich
Neukölln ;Stadtteilbibliothek im Gemeinschaftshaus;Bat-Yam-Platz 1;12353;Bat-Yam-Platz 1;12353;Berlin;J;HOTSPLOTS;Innenbereich
Pankow;Staatliche Fachschule für Sozialpädagogik; Erbeskopfweg 6-10;13158; Erbeskopfweg 6-10;13158;Berlin;J;HOTSPLOTS;Innenbereich
Reinickendorf;Humboldt Bibliothek;Karolinenstr. 19;13507;Karolinenstr. 19;13507;Berlin;J;HOTSPLOTS;Innenbereich
Reinickendorf;Stadtteilbibliothek Märkisches Viertel im Fontanehaus;Königshorster Str. 6 ;13439;Königshorster Str. 6 ;13439;Berlin;J;HOTSPLOTS;"Innenbereich; VPN-Routing"
Spandau;Bezirkszentralbibliothek ;Carl-Schurz-Str. 13;13597;Carl-Schurz-Str. 13;13597;Berlin;J;HOTSPLOTS;Innenbereich
Spandau;Stadtteilbibliothek Kladow;Sakrower Landstr. 2;14089;Sakrower Landstr. 2;14089;Berlin;J;HOTSPLOTS;Innenbereich
Steglitz-Zehlendorf ;Gottfried-Benn-Bibliothek;Nentershäuser Platz 1;14163;Nentershäuser Platz 1;14163;Berlin;J;HOTSPLOTS;Innenbereich/Lesegarten
Steglitz-Zehlendorf ;Ingeborg-Drewitz-Bibliothek;Grunewaldstr. 3;12165;Grunewaldstr. 3;12165;Berlin;J;HOTSPLOTS;Innenbereich
Tempelhof-Schöneberg ;Bezirkszentralbibliothek „Eva-Maria-Buch-Haus“ ;Götzstr. 8/10/12;12099;Götzstr. 8/10/12;12099;Berlin;J;HOTSPLOTS;Innenbereich
Tempelhof-Schöneberg ;"Mittelpunktbibliothek Schöneberg Theodor-Heuss-
Bibliothek";Hauptstr. 40;10827;Hauptstr. 40;10827;Berlin;J;HOTSPLOTS;Innenbereich
Tempelhof-Schöneberg ;Stadtteilbibliothek Lichtenrade Edith-Stein-Bibliothek;Briesingstr. 6;12307;Briesingstr. 6;12307;Berlin;J;HOTSPLOTS;Innenbereich
Treptow-Köpenick;Manfred-Bofinger-Bibliothek;Karl-Kunger-Str. 30;12435;Karl-Kunger-Str. 30;12435;Berlin;J;HOTSPLOTS;Innenbereich
Treptow-Köpenick;Mittelpunktbibliothek Treptow ;Winckelmannstraße 56;12487;Winckelmannstraße 56;12487;Berlin;J;HOTSPLOTS;Innenbereich
Treptow-Köpenick;Stadtteilbibliothek Adlershof ;Dörpfeldstrasse 54;12489;Dörpfeldstrasse 54;12489;Berlin;J;HOTSPLOTS;Innenbereich
Treptow-Köpenick;Stadtteilbibliothek Friedrichshagen ;Peter-Hille-Straße 1;12587;Peter-Hille-Straße 1;12587;Berlin;J;HOTSPLOTS;Innenbereich
Treptow-Köpenick;Mittelpunktbibliothek Köpenick;Alter Markt 2;12555;Alter Markt 2;12555;Berlin;J;HOTSPLOTS;Innenbereich
Mitte;Spandauer Str. / G.-Böß-Str. (hint. Roten Rath.);;;Spandauer Str. 29;10178;Berlin;J;Kabel Deutschland;Alexanderplatz
Mitte;Spandauer Str. / K. - Liebknecht - Str.;;;Spandauer Str. 4;10178;Berlin;J;Kabel Deutschland;Hackescher Markt
Mitte;Krausnickstr. 1 / Oranienburger Str;;;Krausnickstraße 1;10117;Berlin;J;Kabel Deutschland;Hackescher Markt
Mitte;Mühlendamm 1 - 2 / Molkenmarkt;;;Mühlendamm 1-2;10178;Berlin;J;Kabel Deutschland;Alexanderplatz
Mitte;Gertraudenstr. / Fischerinsel (Ahornbl.);;;Gertraudenstraße 20;10178;Berlin ;J;Kabel Deutschland;Alexanderplatz
Mitte;Kurstr. (Spindlerbrunnen ) am Spittelmarkt;;;Kurstraße 22;10117;Berlin ;J;Kabel Deutschland;Alexanderplatz
Mitte;Neumannsgasse 1 / Breite Str.;;;Neumanngasse 1;10178;Berlin ;J;Kabel Deutschland;Alexanderplatz
Mitte;Münzstr. / Alte Schönhauser Str.;;;Alte Schönhauser Str. 29;10119;Berlin ;J;Kabel Deutschland;Hackescher Markt
Mitte;Alte Schönhauser / Mulackstr.;;;Mulackstraße 36-41;10119;Berlin ;J;Kabel Deutschland;Hackescher Markt
Mitte;Karl-Liebknechtstr. / Dirksenstr.;;;Karl-Liebknecht- Straße 13 A;10178;Berlin;J;Kabel Deutschland;Alexanderplatz
Mitte;Karl-Liebknechtstr. 31.;;;Karl-Liebknechtstr. 31.;10178;Berlin;J;Kabel Deutschland;Alexanderplatz
Mitte;Tucholskystr. 35 / Auguststr;;;Tucholskystraße 35;10117;Berlin ;J;Kabel Deutschland;Hackescher Markt
Mitte;Koppenplatz / Auguststr.;;;Koppenplatz 1-2;10115;Berlin;J;Kabel Deutschland;Hackescher Markt
Mitte;Tucholskystr. / Linienstr.;;;Tucholskystraße 48;10117;Berlin;J;Kabel Deutschland;Hackescher Markt
Mitte;Rosenthaler Str. / Auguststr.;;;Auguststraße 44;10119;Berlin;J;Kabel Deutschland;Hackescher Markt
Mitte;Rosenthaler Str. / Sophienstr.;;;Rosenthalerstraße 31;10178;Berlin;J;Kabel Deutschland;Hackescher Markt
Mitte;Kl. Präsidentenstr. / Burgstr. (hint.S-Bahn.);;;Kleine Präsidentenstraße 4;10178;Berlin;J;Kabel Deutschland;Hackescher Markt
Mitte;Unter den Linden / Neustädtische Kirchstr.;;;Unter den Linden 40;10117;Berlin ;J;Kabel Deutschland;Unter den Linden
Mitte;Dorotheenstr. / Neustädtische Kirchstr;;;Dorotheenstraße 74-76;10117;Berlin ;J;Kabel Deutschland;Unter den Linden
Mitte;Dorotheenstr. / Wilhelmstr.;;;Dorotheenstraße 93;10117;Berlin ;J;Kabel Deutschland;Unter den Linden
Mitte;Dorotheenstr. 35 / Charlottenstr.;;;Dorotheenstraße 35;10117;Berlin;J;Kabel Deutschland;Hackescher Markt
Mitte;Am Weidendamm / Plankstr;;;Am Weidendamm 1 A;10117;Berlin;J;Kabel Deutschland;Hackescher Markt
Mitte;Dorotheenstr. (ggü Maxim-Gorki-Theater);;;Dorotheenstraße 11;10117;Berlin ;J;Kabel Deutschland;Unter den Linden
Mitte;Am Kupfergraben ggü  Bodemuseum;;;Am Kupfergraben 2;10117;Berlin ;J;Kabel Deutschland;Unter den Linden
Mitte;Charlottenstr. 46;;;Charlottenstr. 38-46;10117;Berlin ;J;Kabel Deutschland;Unter den Linden
Mitte;Brunnenstr. / Veteranenstr.;;;Veteranenstraße 27-28;10119;Berlin;J;Kabel Deutschland;Kastanienallee
Mitte;Anklamer Str. / Fehrbelliner Str.;;;Anklamer Straße 19-22;10115;Berlin;J;Kabel Deutschland;Kastanienallee
Mitte;Weinbergsweg 1;;;Weinbergsweg 1;10119;Berlin;J;Kabel Deutschland;Kastanienallee
Mitte;Kastanienallee / Schwedter Str.;;;Kastanienallee 70;10119;Berlin;J;Kabel Deutschland;Kastanienallee
Mitte;Kastanienallee / Fehrbelliner Str.;;;Weinbergsweg 12-14;10119;Berlin;J;Kabel Deutschland;Kastanienallee
Mitte;Mohrenstr. 32 / Markgrafenstr.;;;Mohrenstraße 32;10117;Berlin;J;Kabel Deutschland;Gendarmenmarkt
Mitte;Charlottenstr. / Taubenstr.;;;Gendarmenmarkt;10117;Berlin;J;Kabel Deutschland;Gendarmenmarkt
Mitte;Französische Str. / Markgrafenstr.;;;Französische Straße 27 A;10117;Berlin;J;Kabel Deutschland;Gendarmenmarkt
Mitte;Karl - Marx - Allee 4;;;Karl - Marx - Allee 4;10178;Berlin;J;Kabel Deutschland;Alexanderplatz
Mitte;Linienstr. / Oranienburger Str.;;;Linienstraße 134;10115;Berlin;J;Kabel Deutschland;Hackescher Markt
Mitte;Friedrichstr. 131 / Reinhardtstr.;;;Friedrichstraße 131;10117;Berlin;J;Kabel Deutschland;Hackescher Markt
Mitte;Wilhelmstr. / Behrenstr.;;;Wilhelmstraße 76;10117;Berlin;J;Kabel Deutschland;Unter den Linden
Prenzlauer Berg;Kastanienallee / Oderberger Str.;;;Oderberger Straße 32-53;10435;Berlin;J;Kabel Deutschland;Kastanienallee
Prenzlauer Berg;Schönhauser Allee 142;;;Schönhauser Allee 142;10437;Berlin;J;Kabel Deutschland;Kastanienallee
Prenzlauer Berg;Pappelallee / Danziger Str.;;;Pappelallee 1;10437;Berlin;J;Kabel Deutschland;Kastanienallee
Prenzlauer Berg;Knaackstr. 37;;;Knaackstraße 37;10435;Berlin;J;Kabel Deutschland;Kollwitzplatz
Prenzlauer Berg;Wörther Str. 13;;;Wörther Straße 13;10435;Berlin;J;Kabel Deutschland;Kollwitzplatz
Prenzlauer Berg;Knaackstr. / Wörther Str.;;;Knaackstraße 52;10435;Berlin;J;Kabel Deutschland;Kollwitzplatz
Schöneberg;Senatsverwaltung für Wirtschaft, Technologie und Forschung;;;Martin- Luther- Str. 105;10825;Berlin;J;Kabel Deutschland;Innenbereich
Tiergarten;John-Foster-Dulles-Allee 10/ Haus der Kulturen;;;John-Foster-Dulles-Allee 10;10557;Berlin;J;Kabel Deutschland;Tiergarten  
Charlottenburg;Fasanenstraße 75 (vor BHI - Dresdner Bank);;;Fasanenstraße 75;10623;Berlin;J;Kabel Deutschland;Kurfürstendamm
Charlottenburg;Straße des 17. Juni 145 / Ecke Ernst- Reuter Platz;;;Straße des 17. Juni 145;10623;Berlin;J;Kabel Deutschland;Kurfürstendamm
Charlottenburg;Kantstraße 162;;;Kantstraße 162;10623;Berlin;J;Kabel Deutschland;Kurfürstendamm
Schöneberg;Maaßenstraße 1;;;Maaßenstraße 1;10777;Berlin;J;Kabel Deutschland;Nollendorfplatz
Charlottenburg;Meierottostraße/ Bundesallee;;;Meierottostraße;10719;Berlin;J;Kabel Deutschland;Fasanenplatz
Tiergarten;Potsdamer Str. / Scharounstr. ;;;Potsdamer Str.;10785;Berlin;J;Kabel Deutschland;Potsdamer Platz
Tiergarten;Potsdamer Str. / Schöneberger Ufer (Kneipe);;;Schöneberger Ufer 51;10785; Berlin ;J;Kabel Deutschland;Potsdamer Platz
Tiergarten;Linkstraße 10;;;Linkstraße 10;10785;Berlin;J;Kabel Deutschland;Potsdamer Platz
Tiergarten;In den Ministergärten 7 / Ecke Ebertstr.;;;In den Ministergärten 7;10117;Berlin;J;Kabel Deutschland;Potsdamer Platz
Tiergarten;Potsdamer Str./ Ludwig- Beck-Str. ;;;Potsdamer Str. 5;10785;Berlin;J;Kabel Deutschland;Potsdamer Platz
Charlottenburg- Wilmersdorf;Bürgeramt ;;;Hohenzollerndamm 177;10713;Berlin;J;Kabel Deutschland;Bürgeramt Innenbereich



;Kabel Deutschland
